time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010448900000	19.4633	15.9998	4.72702	2.04987	0.60561	lidar	0.0122783	19.4748	16.0098	19.4307	16.039	1.71504	1.04782
1477010448950000	19.362	16.2086	4.72501	2.0644	0.57036	radar	1.86419	19.1556	16.0022	19.3257	16.255	1.73794	1.06294
1477010449000000	19.2523	16.3868	4.68498	2.09444	0.573275	lidar	0.736315	19.238	16.2719	19.2148	16.4679	1.76093	1.07795
1477010449050000	19.134	16.584	4.6787	2.12411	0.576303	radar	0.280287	19.4007	16.2962	19.0981	16.6777	1.78402	1.09283
1477010449100000	19.0044	16.7928	4.69637	2.15263	0.575448	lidar	0.118081	19.0029	16.8387	18.9757	16.8841	1.80721	1.10758
1477010449150000	18.8474	16.9843	4.70838	2.21302	0.644318	radar	6.45446	18.8373	17.7112	18.8477	17.0872	1.83051	1.12218
1477010449200000	18.6749	17.2164	4.78748	2.24729	0.644109	lidar	1.81412	18.6148	17.3832	18.7142	17.2866	1.8539	1.13664
1477010449250000	18.5728	17.4217	4.76976	2.2293	0.543955	radar	6.15028	18.8177	17.0316	18.5752	17.4822	1.8774	1.15093
1477010449300000	18.3596	17.6119	4.82783	2.27645	0.563354	lidar	3.82921	18.1023	17.5529	18.4309	17.674	1.90099	1.16505
1477010449350000	18.2233	17.804	4.8202	2.2785	0.508934	radar	2.33104	18.2749	17.4877	18.2814	17.8617	1.92469	1.179
1477010449400000	18.092	17.9905	4.80228	2.29443	0.499405	lidar	0.907337	18.2094	18.0461	18.1268	18.0453	1.94848	1.19276
1477010449450000	17.916	18.1454	4.78915	2.33875	0.536379	radar	2.02815	18.3021	17.498	17.9671	18.2246	1.97238	1.20633
1477010449500000	17.7841	18.2895	4.72559	2.36032	0.532457	lidar	1.11391	17.9017	18.2183	17.8026	18.3994	1.99637	1.2197
1477010449550000	17.6508	18.4711	4.70905	2.36701	0.50294	radar	6.64327	18.8558	18.1364	17.6334	18.5697	2.02047	1.23286
1477010449600000	17.4572	18.6514	4.75155	2.39461	0.504521	lidar	0.474469	17.3845	18.7039	17.4595	18.7353	2.04467	1.2458
1477010449650000	17.2762	18.7927	4.73796	2.43039	0.524083	radar	1.78324	17.7945	18.0801	17.2811	18.8962	2.06896	1.25851
1477010449700000	17.1146	18.9301	4.70198	2.4549	0.523082	lidar	0.336595	17.1762	18.8863	17.0983	19.0521	2.09335	1.27099
1477010449750000	16.9475	19.1002	4.70762	2.46651	0.500784	radar	3.02145	16.9398	19.7311	16.9113	19.203	2.11784	1.28322
1477010449800000	16.7304	19.2159	4.71253	2.50715	0.517146	lidar	2.72144	16.5734	19.052	16.7202	19.3488	2.14242	1.2952
1477010449850000	16.5406	19.3686	4.72714	2.5313	0.51974	radar	3.23698	16.1674	20.2201	16.5251	19.4894	2.16711	1.30693
1477010449900000	16.3167	19.5284	4.78502	2.55682	0.517985	lidar	0.865496	16.2338	19.617	16.3262	19.6246	2.19188	1.31838
1477010449950000	16.0933	19.6119	4.77072	2.60863	0.558224	radar	10.0869	16.4366	18.2742	16.1237	19.7545	2.21675	1.32956
1477010450000000	15.8884	19.7553	4.79089	2.62884	0.549664	lidar	0.776526	15.9243	19.8703	15.9176	19.8789	2.24171	1.34046
1477010450050000	15.6994	19.8809	4.76666	2.63301	0.500254	radar	3.19415	16.2328	19.2166	15.7082	19.9978	2.26676	1.35106
1477010450100000	15.4698	20.0329	4.82374	2.65057	0.491081	lidar	1.361	15.4332	20.1836	15.4956	20.111	2.2919	1.36137
1477010450150000	15.259	20.1743	4.84342	2.66161	0.470562	radar	5.67548	14.3677	21.3406	15.2799	20.2185	2.31713	1.37137
1477010450200000	15.0705	20.3065	4.82776	2.67286	0.458019	lidar	1.83411	15.2016	20.4385	15.0613	20.3203	2.34244	1.38105
1477010450250000	14.8402	20.3887	4.8285	2.71102	0.482357	radar	2.16186	14.7476	19.9571	14.84	20.4162	2.36784	1.39041
1477010450300000	14.6248	20.508	4.83819	2.72757	0.474281	lidar	0.633411	14.6665	20.6088	14.6161	20.5063	2.39332	1.39944
1477010450350000	14.3888	20.5944	4.85435	2.76449	0.501491	radar	1.31343	13.841	21.0031	14.3897	20.5904	2.41888	1.40814
1477010450400000	14.142	20.6687	4.8721	2.79671	0.508653	lidar	0.74015	14.0521	20.5924	14.1611	20.6686	2.44451	1.41648
1477010450450000	13.9055	20.7397	4.87966	2.83256	0.530564	radar	0.377085	13.8232	20.859	13.9304	20.7408	2.47022	1.42448
1477010450500000	13.6315	20.8032	4.92907	2.86734	0.538254	lidar	1.76943	13.4687	20.7253	13.6977	20.807	2.496	1.43211
1477010450550000	13.3838	20.8336	4.93488	2.92139	0.591257	radar	2.35005	13.8263	20.4261	13.4632	20.8671	2.52185	1.43938
1477010450600000	13.137	20.8752	4.9372	2.95458	0.595004	lidar	0.157409	13.1072	20.8294	13.2271	20.9211	2.54776	1.44627
1477010450650000	12.9055	20.9338	4.92826	2.97588	0.583701	radar	1.77771	13.2669	21.1579	12.9895	20.969	2.57374	1.45279
1477010450700000	12.7046	20.9784	4.87313	2.99853	0.578287	lidar	1.89361	12.8729	21.0592	12.7506	21.0108	2.59978	1.45891
1477010450750000	12.4527	21.0188	4.89387	3.02654	0.579297	radar	2.57942	11.5171	21.6724	12.5106	21.0465	2.62587	1.46464
1477010450800000	12.2057	21.0561	4.90445	3.05117	0.574396	lidar	0.159611	12.2062	21.11	12.2695	21.0761	2.65202	1.46997
1477010450850000	11.9675	21.0757	4.90021	3.08245	0.582726	radar	0.939518	12.3859	21.1066	12.0276	21.0996	2.67821	1.4749
1477010450900000	11.7237	21.0468	4.8848	3.12618	0.598731	lidar	1.86674	11.6814	20.8651	11.785	21.117	2.70444	1.47941
1477010450950000	11.4767	21.0334	4.88498	3.16142	0.604679	radar	1.07064	11.5265	20.6748	11.5418	21.1283	2.73072	1.48349
1477010451000000	11.26	21.0272	4.8465	3.19029	0.604357	lidar	0.677418	11.363	21.0689	11.2982	21.1335	2.75703	1.48716
1477010451050000	11.0058	20.9887	4.85937	3.2296	0.614111	radar	4.12822	10.5558	20.5567	11.0544	21.1327	2.78337	1.49039
1477010451100000	10.7947	20.9507	4.81293	3.26544	0.62109	lidar	0.573954	10.8903	20.927	10.8105	21.1259	2.80974	1.49318
1477010451150000	10.5461	20.9508	4.80598	3.26897	0.566861	radar	5.66425	9.30535	21.3896	10.5666	21.1131	2.83613	1.49554
1477010451200000	10.2664	20.978	4.87407	3.27235	0.537485	lidar	3.40688	10.189	21.209	10.3229	21.0943	2.86254	1.49744
1477010451250000	10.0275	20.9597	4.86965	3.29117	0.526062	radar	1.01983	9.97958	21.2932	10.0795	21.0697	2.88895	1.49889
1477010451300000	9.83302	20.9209	4.80388	3.31961	0.530188	lidar	1.67095	9.99634	20.9797	9.83658	21.0391	2.91538	1.49988
1477010451350000	9.59786	20.9134	4.77689	3.31663	0.474338	radar	2.31213	9.38223	21.111	9.59422	21.0028	2.9418	1.50041
1477010451400000	9.40434	20.8615	4.7178	3.34616	0.482103	lidar	1.05865	9.53921	20.8762	9.35258	20.9607	2.96822	1.50047
1477010451450000	9.18282	20.8199	4.70693	3.36839	0.481943	radar	1.47783	9.63392	20.9724	9.11177	20.9128	2.99462	1.50006
1477010451500000	8.89168	20.788	4.79571	3.37796	0.464212	lidar	2.18885	8.70331	20.8221	8.87192	20.8594	3.02101	1.49917
1477010451550000	8.67672	20.7085	4.77629	3.41299	0.48089	radar	4.46155	9.84634	20.009	8.63315	20.8003	3.04738	1.4978
1477010451600000	8.40164	20.6245	4.84399	3.43916	0.48183	lidar	2.77497	8.22277	20.4839	8.39557	20.7357	3.07371	1.49594
1477010451650000	8.17317	20.5442	4.84727	3.46864	0.491862	radar	0.105027	8.29647	20.4978	8.1593	20.6657	3.10001	1.4936
1477010451700000	7.93117	20.4642	4.86657	3.4914	0.489467	lidar	0.126741	7.88599	20.45	7.92445	20.5903	3.12626	1.49077
1477010451750000	7.71559	20.3774	4.86685	3.5254	0.512558	radar	3.5071	8.29081	20.6565	7.69111	20.5096	3.15246	1.48744
1477010451800000	7.40864	20.3195	4.97508	3.52591	0.482792	lidar	3.50526	7.18029	20.392	7.45939	20.4236	3.17861	1.48361
1477010451850000	7.17711	20.2229	4.97449	3.5482	0.477792	radar	0.21624	7.09214	20.1196	7.22939	20.3326	3.20469	1.47928
1477010451900000	6.91285	20.1406	5.02112	3.55938	0.462916	lidar	0.711651	6.81542	20.1859	7.00119	20.2364	3.2307	1.47445
1477010451950000	6.6877	20.049	5.00682	3.5754	0.45074	radar	0.470576	6.89359	20.1536	6.7749	20.1352	3.25663	1.46912
1477010452000000	6.4396	19.9582	5.03215	3.58804	0.439416	lidar	0.341184	6.38914	20.0136	6.55059	20.0292	3.28247	1.46328
1477010452050000	6.22295	19.8644	5.01481	3.60572	0.435779	radar	2.83768	6.67637	20.2142	6.32834	19.9183	3.30822	1.45692
1477010452100000	5.96017	19.7714	5.06143	3.61255	0.418545	lidar	0.82312	5.86119	19.8306	6.10823	19.8027	3.33386	1.45006
1477010452150000	5.73238	19.6249	5.0988	3.65258	0.453866	radar	2.00078	5.28178	19.5036	5.89034	19.6824	3.3594	1.44269
1477010452200000	5.55437	19.5024	5.03913	3.68193	0.462254	lidar	1.34	5.69089	19.5755	5.67472	19.5577	3.38481	1.4348
1477010452250000	5.3534	19.3529	5.03394	3.71586	0.477499	radar	1.74933	5.9506	18.9859	5.46145	19.4284	3.4101	1.4264
1477010452300000	5.13951	19.2516	5.02201	3.7258	0.462394	lidar	1.92249	5.17021	19.4397	5.25059	19.2949	3.43526	1.41748
1477010452350000	4.94698	19.1402	4.96746	3.73494	0.435976	radar	4.63743	5.87397	19.301	5.04219	19.157	3.46027	1.40805
1477010452400000	4.78343	18.989	4.91988	3.76946	0.451183	lidar	0.71992	4.89149	18.982	4.8363	19.015	3.48513	1.39811
1477010452450000	4.57536	18.8387	4.94968	3.7954	0.461969	radar	1.48411	3.98679	19.0452	4.63297	18.8689	3.50982	1.38765
1477010452500000	4.39738	18.7069	4.91685	3.81561	0.45948	lidar	1.11162	4.4685	18.834	4.43224	18.7188	3.53435	1.37667
1477010452550000	4.21449	18.5651	4.87861	3.82922	0.438787	radar	1.35651	4.69245	18.4634	4.23416	18.5648	3.5587	1.36519
